Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Cour de justice de l'UE,https://social.network.europa.eu/@Curia_fr,https://curia.europa.eu/,European Union,French,-,Bot,01/04/2022,-,Institutions,Instituciones
Court of Justice of the EU,https://social.network.europa.eu/@Curia,https://curia.europa.eu/,European Union,English,-,Bot,01/04/2022,-,Institutions,Instituciones
Directorate-General for Informatics,https://social.network.europa.eu/@EC_DIGIT,https://ec.europa.eu/info/departments/informatics_en,European Union,Multi,-,-,01/02/2022,-,Institutions,Instituciones
European Commission,https://social.network.europa.eu/@EU_Commission,https://ec.europa.eu/,European Union,Multi,-,-,01/04/2022,-,Institutions,Instituciones
European Data Protection Supervisor,https://social.network.europa.eu/@EDPS,https://edps.europa.eu/,European Union,Multi,-,-,01/02/2022,-,Institutions,Instituciones
European Investment Bank,https://social.network.europa.eu/@eib,https://www.eib.org/,European Union,Multi,-,-,01/11/2022,-,Institutions,Instituciones
European Labour Authority,https://social.network.europa.eu/@ELA,https://www.ela.europa.eu/,European Union,Multi,-,-,01/06/2022,-,Institutions,Instituciones
European Ombudsman,https://social.network.europa.eu/@ombudsman,https://www.ombudsman.europa.eu/,European Union,Multi,-,-,01/03/2022,-,Institutions,Instituciones
European Union Agency for Fundamental Rights,https://social.network.europa.eu/@FRA,https://fra.europa.eu/,European Union,Multi,-,-,01/03/2022,-,Institutions,Instituciones
"European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice",https://social.network.europa.eu/@EULISA,https://eulisa.europa.eu/,European Union,English,-,-,01/09/2022,-,Institutions,Instituciones
European Union Agency for the Space Programme,https://social.network.europa.eu/@EUSPA,https://www.euspa.europa.eu/,European Union,English,-,-,01/03/2022,-,Institutions,Instituciones
European Union External Action,https://social.network.europa.eu/@EEAS,https://www.eeas.europa.eu/,European Union,Multi,-,The Diplomatic Service of the European Union,01/11/2022,-,Institutions,Instituciones
European Union Intellectual Property Office,https://social.network.europa.eu/@EUIPO,https://euipo.europa.eu/,European Union,Multi,-,-,01/05/2022,-,Institutions,Instituciones
European Union Sanctions,https://social.network.europa.eu/@EC_Sanctions,https://finance.ec.europa.eu/eu-and-world/sanctions-restrictive-measures_en,European Union,English,-,-,01/11/2022,-,Institutions,Instituciones
Next Generation Internet,https://social.network.europa.eu/@EC_NGI,https://www.ngi.eu/,European Union,English,-,-,01/03/2022,-,Institutions,Instituciones
Open Source Programme Office,https://social.network.europa.eu/@EC_OSPO,https://joinup.ec.europa.eu/collection/ec-ospo,European Union,English,-,-,01/02/2022,-,Institutions,Instituciones
The Translation Centre for the Bodies,https://social.network.europa.eu/@CDT,https://cdt.europa.eu/,European Union,Multi,-,-,01/04/2022,-,Institutions,Instituciones
EU Research Executive Agency,https://social.network.europa.eu/@EC_REA,https://rea.ec.europa.eu/index_en,European Union,Multi,,,25/11/2022,,Institutions,Instituciones
