Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
ADS_Bund,https://social.bund.de/@antidiskriminierung,https://www.antidiskriminierungsstelle.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Auswärtiges Amt,https://social.bund.de/@AuswaertigesAmt,https://www.auswaertiges-amt.de/de/,Germany,German,-,-,01/10/2022,-,Institutions,Instituciones
BAM Materialforschung,https://social.bund.de/@BAMResearch,http://bam.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
BAMF_Bund,https://social.bund.de/@bamf,https://www.bamf.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
BASE,https://social.bund.de/@base,https://www.base.bund.de/DE/home/home_node.html,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
BayLfD,https://social.bund.de/@BayLfD,https://www.datenschutz-bayern.de/,Germany,German,-,-,01/04/2022,-,Institutions,Instituciones
BfDI,https://social.bund.de/@bfdi,https://www.bfdi.bund.de/,Germany,German,-,-,01/04/2020,-,Institutions,Instituciones
BfR,https://social.bund.de/@bfr,https://www.bfr.bund.de/de/start.html,Germany,German,-,-,01/08/2022,-,Institutions,Instituciones
BKG,https://social.bund.de/@BKG,https://www.bkg.bund.de/DE/Home/home.html,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
BlnBDI,https://social.bund.de/@BlnBDI,https://www.datenschutz-berlin.de/,Germany,German,-,-,01/08/2022,-,Institutions,Instituciones
BMBF_bund,https://social.bund.de/@bmbf_bund,http://www.bmbf.de/,Germany,German,-,-,01/03/2022,-,Institutions,Instituciones
BMDV,https://social.bund.de/@bmdv,https://bmdv.bund.de/DE/Home/home.html,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
BMI_Bund,https://social.bund.de/@bmi,https://bmi.bund.de/,Germany,German,-,-,01/10/2022,-,Institutions,Instituciones
BSI,https://social.bund.de/@bsi,https://bsi.bund.de/,Germany,German,-,-,01/03/2021,-,Institutions,Instituciones
Bundesamt für Strahlenschutz,https://social.bund.de/@strahlenschutz,https://www.bfs.de/DE/home/home_node.html,Germany,German,-,-,01/05/2022,-,Institutions,Instituciones
Bundesbauministerium,https://social.bund.de/@BMWSB_Bund,https://bmwsb.bund.de/,Germany,German,-,-,01/10/2022,-,Institutions,Instituciones
Bundespresseamt,https://social.bund.de/@Bundespresseamt,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskanzleramt/bundespresseamt,Germany,German,-,-,01/02/2022,-,Institutions,Instituciones
Bundeszentrale f. pol. Bildung,https://social.bund.de/@bpb,https://www.bpb.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
BVL_Bund,https://social.bund.de/@BVL_Bund,https://www.bvl.bund.de/DE/Home/home_node.html,Germany,German,-,-,01/09/2022,-,Institutions,Instituciones
Cyberagentur,https://social.bund.de/@Cyberagentur,https://www.cyberagentur.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
DAI,https://social.bund.de/@dai_weltweit,https://www.dainst.org/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Datenschutzkonferenz,https://social.bund.de/@dsk,https://www.datenschutzkonferenz-online.de/,Germany,German,-,-,01/01/2022,-,Institutions,Instituciones
Der Zoll,https://social.bund.de/@Zoll,https://zoll.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Deutscher Wetterdienst (DWD),https://social.bund.de/@DeutscherWetterdienst,https://www.dwd.de/DE/Home/home_node.html,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Deutsches Heer,https://social.bund.de/@deutschesHeer,https://www.bundeswehr.de/de/organisation/heer,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
DLR,https://social.bund.de/@DLR,https://www.dlr.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
DLR_next,https://social.bund.de/@dlr_next,https://www.dlr.de/next/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
DSEE,https://social.bund.de/@dsee,https://www.deutsche-stiftung-engagement-und-ehrenamt.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
FITKO,https://social.bund.de/@FITKOfoederal,https://www.fitko.de/,Germany,German,-,-,01/08/2021,-,Institutions,Instituciones
Forschungszentrum DZNE,https://social.bund.de/@dzne,https://www.dzne.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Fraunhofer FOKUS,https://social.bund.de/@FraunhoferFOKUS,https://www.fokus.fraunhofer.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Für Menschenrechte,https://social.bund.de/@DIMR_Berlin,https://www.institut-fuer-menschenrechte.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
GEOMAR,https://social.bund.de/@geomar_de,https://www.geomar.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
German Embassy London,https://social.bund.de/@germanyinuk,https://uk.diplo.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
GIGA Institute,https://social.bund.de/@GIGA_Institute,https://www.giga-hamburg.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
GRS,https://social.bund.de/@GRS,https://www.grs.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Hessischer Landtag,https://social.bund.de/@HessischerLandtag,https://hessischer-landtag.de/,Germany,German,-,-,01/05/2022,-,Institutions,Instituciones
ITZBund,https://social.bund.de/@itzbund,https://www.itzbund.de/,Germany,German,-,-,01/02/2022,-,Institutions,Instituciones
KfW Bankengruppe,https://social.bund.de/@KfW,https://www.kfw.de/s/dekEU20,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Kompetenzzentrum Open Data,https://social.bund.de/@opendatabund,https://opendata.bund.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Landtag RLP,https://social.bund.de/@ltrlp,https://www.landtag.rlp.de/de/general-storage/footer/ueber-den-landtag/impressum/,Germany,German,-,-,01/07/2021,-,Institutions,Instituciones
Loeffler,https://social.bund.de/@loeffler_news,https://fli.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Max Delbrück Center,https://social.bund.de/@MDC_Berlin,https://www.mdc-berlin.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Ostbeauftragter,https://social.bund.de/@Ostbeauftragter,https://ostbeauftragter.de/ostb-de,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
Robert Koch-Institut,https://social.bund.de/@RKI,https://www.rki.de/DE/Home/homepage_node.html,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones
