Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
FAU Erlangen-Nürnberg,https://mastodon.social/@FAU,https://www.fau.de/,Germany,German,-,-,24/05/2022,-,Universities,Universidades
FernUniversität in Hagen,https://bildung.social/@fernunihagen,https://www.fernuni-hagen.de/,Germany,German,-,-,28/10/2022,-,Universities,Universidades
HafenCity Universität (HCU),https://mastodon.social/@HCUHamburg,https://www.hcu-hamburg.de/,Germany,German,-,-,13/10/2022,-,Universities,Universidades
Heinrich-Heine-Universität,https://nrw.social/@HHU,https://www.hhu.de/,Germany,German,-,-,10/11/2022,-,Universities,Universidades
Hochschule Anhalt,https://mastodon.social/@hsanhalt,https://www.hs-anhalt.de/,Germany,German,-,-,17/11/2022,-,Universities,Universidades
Hochschule der Medien,https://bonn.social/@hdmstuttgart@baw%C3%BC.social,https://www.hdm-stuttgart.de/,Germany,German,-,-,26/07/2021,-,Universities,Universidades
Hochschule für Gestaltung,https://bonn.social/@hfg_gmuend@baw%C3%BC.social,https://www.hfg-gmuend.de/,Germany,German,-,-,19/05/2022,-,Universities,Universidades
Hochschule für Wirtschaft und Umwelt,https://bonn.social/@HfWU@baw%C3%BC.social,https://www.hfwu.de/,Germany,German,-,-,14/11/2022,-,Universities,Universidades
Hochschule Kehl,https://mastodon.social/@hochschule_kehl,https://www.hs-kehl.de/,Germany,German,-,-,20/05/2022,-,Universities,Universidades
Hochschule Ravensburg-Weingarten,https://mastodon.online/@rwu,https://www.rwu.de/,Germany,German,-,-,02/12/2020,-,Universities,Universidades
Hochschule Reutlingen,https://bonn.social/@Hochschule_Reutlingen@baw%C3%BC.social,https://www.reutlingen-university.de/home/,Germany,German,-,-,17/05/2022,-,Universities,Universidades
HTW Berlin,https://wisskomm.social/@HTW_Berlin,https://www.htw-berlin.de/,Germany,German,-,-,22/11/2022,-,Universities,Universidades
Karlsruher Institut für Technologie (KIT),https://mastodon.social/@KIT_Karlsruhe,https://www.kit.edu/,Germany,German,-,-,29/07/2021,-,Universities,Universidades
Magdeburg-Stendal University,https://machteburch.social/@h2international,https://www.h2.de/,Germany,German,-,-,04/08/2021,-,Universities,Universidades
PH Ludwigsburg,https://bonn.social/@phludwigsburg@baw%C3%BC.social,https://www.ph-ludwigsburg.de/,Germany,German,-,-,20/05/2021,-,Universities,Universidades
PH Weingarten,https://bonn.social/@phweingarten@baw%C3%BC.social,https://www.ph-weingarten.de/,Germany,German,-,-,11/04/2022,-,Universities,Universidades
TU Braunschweig,https://wisskomm.social/@tubraunschweig,https://www.tu-braunschweig.de/,Germany,German,-,-,21/11/2022,-,Universities,Universidades
TU Chemnitz,https://mastodon.social/@tuchemnitz,https://www.tu-chemnitz.de/,Germany,German,-,-,12/05/2022,-,Universities,Universidades
TU Darmstadt,https://darmstadt.social/@TU,https://www.tu-darmstadt.de/,Germany,German,-,-,12/11/2022,-,Universities,Universidades
TU München,https://mastodon.social/@tu_muenchen,https://www.tum.de/,Germany,German,-,-,18/05/2022,-,Universities,Universidades
Uniklinikum Heidelberg,https://xn--baw-joa.social/@uniklinikum_hd,https://www.klinikum.uni-heidelberg.de/,Germany,German,-,-,28/11/2022,-,Universities,Universidades
Universität Bremen,https://wisskomm.social/@unibremen,https://www.uni-bremen.de/,Germany,German,-,-,22/11/2022,-,Universities,Universidades
Universität Freiburg,https://bonn.social/@unifreiburg@baw%C3%BC.social,https://uni-freiburg.de/,Germany,German,-,-,04/05/2021,-,Universities,Universidades
Universität Greifswald,https://mastodon.social/@unigreifswald,https://www.uni-greifswald.de/,Germany,German,-,-,25/06/2021,-,Universities,Universidades
Universität Hohenheim,https://bonn.social/@unihohenheim@baw%C3%BC.social,https://www.uni-hohenheim.de/,Germany,German,-,-,28/04/2021,-,Universities,Universidades
Universität Jena,https://mastodon.social/@unijena,https://uni-jena.de/,Germany,German,-,Bot,27/01/2020,-,Universities,Universidades
Universität Kassel,https://mastodon.social/@unikassel,https://www.uni-kassel.de/,Germany,German,-,-,17/11/2022,-,Universities,Universidades
Universität Konstanz,https://bonn.social/@unikonstanz@baw%C3%BC.social,https://uni.kn/,Germany,German,-,-,02/05/2022,-,Universities,Universidades
Universität Mannheim,https://bonn.social/@unimannheim@baw%C3%BC.social,https://www.uni-mannheim.de/,Germany,German,-,-,04/04/2022,-,Universities,Universidades
Universität Oldenburg,https://wisskomm.social/@UniOldenburg,https://uol.de/,Germany,German,-,-,28/11/2022,-,Universities,Universidades
Universität Stuttgart,https://bonn.social/@Uni_Stuttgart@baw%C3%BC.social,https://www.uni-stuttgart.de/,Germany,German,-,-,09/05/2022,-,Universities,Universidades
Universität Tübingen,https://bonn.social/@unituebingen@baw%C3%BC.social,https://uni-tuebingen.de/,Germany,German,-,-,20/07/2021,-,Universities,Universidades
Universität Ulm,https://mastodon.social/@UniUlm,https://www.uni-ulm.de/,Germany,German,-,-,06/03/2020,-,Universities,Universidades
Universität zu Köln,https://wisskomm.social/@UniKoeln,https://www.uni-koeln.de/,Germany,German,-,-,21/11/2022,-,Universities,Universidades
