Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Arch Linux,https://pokemon.men/@archlinux,https://archlinux.org/,Global,English,-,Bot,06/05/2019,-,Software,Software
Blender,https://mastodon.social/@Blender,https://www.blender.org/,Global,English,-,-,14/02/2018,-,Software,Software
F-Droid,https://floss.social/@fdroidorg,https://f-droid.org/,Global,Multi,https://gitlab.com/fdroid,-,15/10/2022,-,Software,Software
Fedilab,https://framapiaf.org/@fedilab,https://fedilab.app/,Global,Multi,-,Android App,21/04/2019,-,Software,Software
FreeCAD,https://fosstodon.org/@FreeCAD,https://www.freecad.org/,Global,English,-,-,30/12/2018,-,Software,Software
Funkwhale,https://fosstodon.org/@funkwhale,https://funkwhale.audio/,Global,Multi,-,-,20/11/2021,-,Software,Software
GIMP,https://floss.social/@GIMP,https://gimp.org/,Global,English,-,-,11/10/2022,-,Software,Software
GNOME,https://floss.social/@gnome,https://www.gnome.org/,Global,English,-,-,09/07/2018,-,Software,Software
GTK,https://floss.social/@GTK,https://www.gtk.org/,Global,English,-,-,10/11/2022,-,Software,Software
Inkscape,https://mastodon.art/@inkscape,https://inkscape.org/,Global,Multi,https://gitlab.com/inkscape/inkscape/,-,05/04/2018,-,Software,Software
Ivory,https://tapbots.social/@ivory,-,Global,English,-,iOS App,24/11/2022,-,Software,Software
KDE,https://floss.social/@kde,https://kde.org/,Global,Multi,-,-,07/10/2022,-,Software,Software
Kdenlive,https://floss.social/@kdenlive,https://kdenlive.org/,Global,Multi,-,-,08/10/2022,-,Software,Software
LibreOffice,https://fosstodon.org/@libreoffice,https://www.libreoffice.org/,Global,Multi,-,-,20/03/2019,-,Software,Software
Mastodon,https://mastodon.social/@Mastodon,https://joinmastodon.org/,Global,Multi,-,-,23/11/2016,-,Software,Software
Matrix.org,https://mastodon.matrix.org/@matrix,https://matrix.org/,Global,English,-,-,01/05/2017,-,Software,Software
Metabolist / Metatext,https://mastodon.social/@metabolist,http://metabolist.org/,Global,Multi,-,iOS App,30/10/2019,-,Software,Software
Nextcloud,https://mastodon.xyz/@nextcloud,https://nextcloud.com/,Global,Multi,-,-,02/05/2017,-,Software,Software
NLnet Labs,https://fosstodon.org/@nlnetlabs,https://nlnetlabs.nl/,Global,English,-,-,31/10/2022,-,Software,Software
OpenMandriva,https://linuxrocks.online/@openmandriva,https://www.openmandriva.org/,Global,English,-,-,13/02/2021,-,Software,Software
Penpot,https://fosstodon.org/@penpot,https://penpot.app/,Global,English,https://github.com/penpot/,-,16/06/2020,-,Software,Software
Pixelfed,https://mastodon.social/@pixelfed,https://pixelfed.org/,Global,English,-,-,11/05/2018,-,Software,Software
QGIS,https://fosstodon.org/@qgis,https://qgis.org/,Global,Multi,-,-,01/11/2022,-,Software,Software
The R Foundation,https://fosstodon.org/@R_Foundation,https://r-project.org/,Global,English,-,-,10/11/2022,-,Software,Software
Thunderbird,https://mastodon.online/@thunderbird,https://thunderbird.net/,Global,Multi,-,-,25/04/2022,-,Software,Software
Toot!,https://mastodon.social/@tootapp,https://apps.apple.com/app/toot/id1229021451,Global,Multi,-,iOS App,14/08/2018,-,Software,Software
Tootoise,https://mastodon.social/@tootoise,https://apps.apple.com/us/app/tootoise/id1465090190,Global,Multi,-,iOS App,07/02/2020,-,Software,Software
Tusky,https://mastodon.social/@Tusky,https://tusky.app/,Global,Multi,-,Android App,12/04/2017,-,Software,Software
VideoLAN,https://floss.social/@videolan,https://www.videolan.org/,Global,Multi,https://code.videolan.org/,-,03/11/2022,-,Software,Software
Vivaldi,https://social.vivaldi.net/@Vivaldi,https://vivaldi.com/,Global,Multi,-,-,13/11/2022,-,Software,Software
