Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Alba Precedo,https://mastodon.world/@AlbaPrecedo,https://www.infolibre.es/autores/alba-precedo/,Spain,Spanish,-,-,20/11/2022,-,Journalists,Periodistas
Antonio Maestre,https://mastodon.social/@_antoniomaestre_/,https://es.wikipedia.org/wiki/Antonio_Maestre,Spain,Spanish,-,-,29/12/2019,-,Journalists,Periodistas
Borja Ventura,https://newsie.social/@borjaventura,http://www.borjaventura.com/,Spain,Spanish,-,-,11/11/2022,-,Journalists,Periodistas
Carlos Cala Barroso,https://masto.es/@carloscalab,https://cadenaser.com/autor/carlos_cala_barroso/a/,Spain,Spanish,-,-,23/11/2022,-,Journalists,Periodistas
Dani Domínguez,https://mastodon.world/@DaniDominguez,https://www.lamarea.com/author/dani-dominguez/,Spain,Spanish / Catalan,-,-,18/11/2022,-,Journalists,Periodistas
Elena de Sus,https://mastodon.world/@elenadesus,https://ctxt.es/user/profile/elenadesus,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas
Emilio Doménech,https://mastodon.online/@nanisimo,https://es.wikipedia.org/wiki/Emilio_Dom%C3%A9nech,Spain,Spanish,-,Nanisimo,04/11/2022,-,Journalists,Periodistas
Fernando Hernández Valls,https://masto.ai/@fernandohvalls,https://www.linkedin.com/in/fernando-h-valls-283452111/,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas
Gala Cubillo,https://mastodon.social/@galacubillo,https://www.relinchu.com/author/galacubillo,Spain,Spanish,-,-,01/07/2023,-,Journalists,Periodistas
Gerardo Tecé,https://mastodon.world/@gerardotc,https://es.wikipedia.org/wiki/Gerardo_Tec%C3%A9,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas
Guillem Martínez,https://sociale.network/@Guillemmartnez,https://es.wikipedia.org/wiki/Guillem_Mart%C3%ADnez,Spain,Spanish,-,-,08/11/2022,-,Journalists,Periodistas
Jesús Maraña,https://mastodon.world/@jesusmarana,https://es.wikipedia.org/wiki/Jes%C3%BAs_Mara%C3%B1a,Spain,Spanish,-,-,19/11/2022,-,Journalists,Periodistas
Manuel Rico,https://mstdn.social/@manuelrico,https://www.infolibre.es/autores/manuel-rico/,Spain,Spanish,-,-,13/11/2022,-,Journalists,Periodistas
Miquel Ramos,https://mastodont.cat/@Miquel_R,https://miquelramos.me/,Spain,Spanish / Catalan,-,-,18/11/2022,-,Journalists,Periodistas
Pedro Vallín,https://mastodon.social/@pvallin,https://es.wikipedia.org/wiki/Pedro_Vall%C3%ADn,Spain,Spanish,-,-,29/12/2019,-,Journalists,Periodistas
Rubén Sánchez,https://mastodon.social/@RubenSanchezTW,https://rubensanchez.tw/,Spain,Spanish,-,-,01/10/2018,-,Journalists,Periodistas
Vanesa Jiménez,https://mastodon.world/@vjimenez,https://ctxt.es/user/profile/vanesa,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas
Víctor Olazábal,https://mastodon.world/@vic_olazabal,https://www.linkedin.com/in/victor-m-olaz%C3%A1bal-7734a1101,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas
Willy Veleta,https://mastodon.world/@VeletaWilly,https://ctxt.es/user/profile/Willyveleta,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas
Yago Álvarez Barba,https://activism.openworlds.info/@EconoCabreado,https://www.elsaltodiario.com/autor/yago-alvarez,Spain,Spanish,-,Economista Cabreado,11/11/2022,-,Journalists,Periodistas
