Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords
ARGIA,https://mastodon.eus/@argia,https://www.argia.eus/,Spain,Euskera,-,-,31/10/2018,-
CTXT,https://mastodon.world/@ctxt,https://ctxt.es/,Spain,Spanish,-,-,18/11/2022,-
El Mundo Today,https://mastodon.social/@elmundotoday,https://www.elmundotoday.com/,Spain,Spanish,-,Humor / Sátira,28/10/2022,-
El Salto Diario,https://mastodon.social/@ElSaltoDiario,https://www.elsaltodiario.com/,Spain,Spanish,https://t.me/elsaltodiario,-,02/09/2021,-
elDiario.es,https://mastodon.world/@eldiarioes,https://www.eldiario.es/,Spain,Spanish,-,-,21/11/2022,-
Electomanía,https://masto.ai/@electomania,https://electomania.es/,Spain,Spanish,http://t.me/electomania,Demoscopia,18/11/2022,-
infoLibre,https://mastodon.world/@_infoLibre,https://www.infolibre.es/,Spain,Spanish,-,-,20/11/2022,-
La Marea,https://xarxa.cloud/@lamarea,https://www.lamarea.com/,Spain,Spanish,-,BOT,17/01/2020,-
Luzes,https://mastodon.gal/@Luzes,https://luzes.gal/,Spain,Galego,-,-,12/11/2022,-
Maldita.es,https://mastodon.social/@malditaes,https://maldita.es/,Spain,Spanish,-,Verificación de bulos,18/11/2022,-
microsiervos,https://mastodon.cloud/@microsiervos,https://www.microsiervos.com/,Spain,Spanish,https://t.me/microsiervos,-,01/08/2018,-
